Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,63.567,63.41,63.253,63.096,62.939,62.782,62.5654,62.3488,62.1322,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237725058,4.53787889681146,5.3185559967348,6.12846695022316,7.13154104672929
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.2,97,99.6,99.6,98.4,93.9,99.5,99.6,98.8,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.26422378235981,4.34211506853729,4.20909563279429,4.30191387639872,4.20184577616112,4.07130836193664,3.97577197057929,3.74065029063396,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,72.4,..,..,..,..,..,..,70.1,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,30.6012215884466,33.1873915714789,34.4321395694616,40.4276279370297,37.9322482578709,38.8683983871173,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1936.80353979442,1967.02167752077,2029.92282543737,..,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.2378594620246,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.3202833596733,14.4366857499034,17.9248783778462,16.6108723998011,18.0342289894963
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,139877658066.6,150225027402.1,153793761987.6,177184603465.6,181638508190.7,225925335186.1,277827089406.2,280684783388,255558142878.8,246306711414
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.33,2.322,2.312,2.301,2.241,2.168,2.039,1.994,1.911,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6649187837.98606,4722648813.09203,6782348887.21716
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,297672,295438,293204,290970,290100,288990,287910,286810,285730,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,447754609218.678,385540224628.292,487227339102.67
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.94323513446069,10.3982494646904
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,11890,12870,12350,12600,12220,13140,12430,11220,9010,9960
